book,book aspect,book level,memory,forge,knock,lantern,grail,moth,scale,winter,rose,sky,edge,nectar,heart,moon
"The Sun's Design",lantern,10,Numen: the Paths of the Sun,,5,,,5,5,,,,,,,
"The Sun Disfigured",grail,10,Numen: the Sun's Weakness,,,5,,,5,,5,,,,,
"Towards a Fundamental Aesthetic",knock,10,Numen: Inescapable Confinement,,,,,5,,,,,,5,,5
"Towards a Fundamental Aesthetic: Second Edition",winter,10,Numen: a Final Understanding,,,,,,,,,,5,,5,5
"The Writing on the Wall",nectar,10,Numen: an Irresistible Feast,5,,5,,,,,,5,,,,
"A Child's Treasury of Golden Afternoons",edge,10,Numen: Merciless Alteration,5,5,5,,,,,,,,,,
"Kopralith Omphalos",moth,10,Numen: Weaving the World,,,,5,,,5,,5,,,,
"The Turquoise Hand",rose,10,Numen: That Old Lost Music,,,,,,,,,,5,5,5,
"The Sky in the Scar",edge,10,Numen: Back Into Balance,,,,5,,,,,,,,5,5
"Shuritic Book of Suns",sky,10,Numen: the Great Counterfeit,,,,,,5,5,,5,,,,
"Amiranis Beteli",forge,10,Numen: the Bells of Ys,5,5,,,,,,,,5,,,
"Serpent-Root",nectar,10,Numen: Loopholes,,,,,5,,5,5,,,,,
"The Three and the Three (St Chiavi Manuscript)",moon,18,Numen: Three Rules,,,,5,,,,5,,,5,,
"The Locksmith's Dream: Stolen Reflections",sky,4,Memory: Revelation,,,,,,2,,,,,,,
"The Locksmith's Dream: Incursus",lantern,6,Confounding Parable,,,,,,,2,,,2,,2,
"The Fallen Cross",sky,6,Memory: Regret,,1,,,,,,,,,,,2
"Kitling Ripe and the Moldywarp's Grave (and Other Stories)",moth,6,Memory: Impulse,,,,,,,,2,1,,,,
"Rapt in the King",heart,8,Earth-Sign,,,,,,,,,2,,2,,
"The Viennese Conundra",moon,4,Memory: Fear,1,,,,,,,,,,2,,
"Collected Hush House Lectures",moon,4,Memory: Intuition,,,,,,,2,,,2,,,
"The Debate of Seven Cups",moth,10,Memory: Impulse,,,,,,,,2,1,,,,
"The Temptations of Architecture",forge,10,Secret Threshold,,,,,2,,,,,1,,,
"The Tripled Heart",grail,4,Memory: Intuition,,,,,,,2,,,2,,,
"The Five Letters On Memory",winter,6,Memory: Regret,,1,,,,,,,,,,,2
"The Twelve Letters On Consequence",moon,4,Memory: Regret,,1,,,,,,,,,,,2
"Gospel of Nicodemus",lantern,6,Memory: Revelation,,,,,,2,,,,,,,
"An Almanac of Entrances",knock,10,Secret Threshold,,,,,2,,,,,1,,,
"Just Verse",rose,6,Memory: Pattern,,1,,,2,,,,,,,,
"The Book of Cinders",forge,6,Memory: Foresight,,2,,,,1,,,,,,,
"Codex Acephali",moon,10,Memory: Regret,,1,,,,,,,,,,,2
"The History of Inks",rose,14,Memory: Intuition,,,,,,,2,,,2,,,
"In the Malleary",lantern,4,Memory: Foresight,,2,,,,1,,,,,,,
"The Kerisham Portolan",moon,6,Memory: Gossip,,,1,,,,,,,2,,,
"Nix Abolix",moon,16,Memory: Fear,1,,,,,,,,,,2,,
"OGHKOR OGHKOR TISSILAK OGHKOR",knock,12,Memory: Pattern,,1,,,2,,,,,,,,
"The Radical Measure",rose,10,Memory: Pattern,,1,,,2,,,,,,,,
"The Radical Measure (Glossed)",rose,12,Memory: Pattern,,1,,,2,,,,,,,,
"Book of Miah",rose,10,Memory: Intuition,,,,,,,2,,,2,,,
"The Intimations of Skin",grail,8,Beguiling Melody,,,2,,,,,,,,,2,
"The Berrybook",nectar,8,Memory: Satisfaction,,,2,1,,,,,,,,,
"Seven Shards",edge,10,Memory: Hindsight,,,,,,,,,,,1,,2
"The Crossing to Noon",moon,8,Memory: Salt,,,,,1,,1,,,,,,1
"What Does Not Bark",moon,4,Memory: Storm,,,,2,,,,,,,,2,
"Stolen Histories",scale,4,Memory: Fear,1,,,,,,,,,,2,,
"Black Nephrite",moon,6,Memory: Fear,1,,,,,,,,,,2,,
"The Sea Does Not Regret",moon,6,Memory: Salt,,,,,1,,1,,,,,,1
"Two Wombs, One Heart",heart,8,Memory: Satisfaction,,,2,1,,,,,,,,,
"One Hundred And Eight",scale,4,Confounding Parable,,,,,,,2,,,2,,2,
"The World Despoil'd",moon,6,Memory: Solace,,,,2,,,,,,,,1,
"An Impertinent Vitulation",grail,6,Memory: Satisfaction,,,2,1,,,,,,,,,
"Cardea's Delights",knock,8,Memory: Pattern,,1,,,2,,,,,,,,
"The Elations of Limentinus",knock,6,Memory: Pattern,,1,,,2,,,,,,,,
"The Raptures of Forculus",knock,4,Memory: Pattern,,1,,,2,,,,,,,,
"Snare of the Tree: Collected Proverbs of Aunt Mopsy",grail,8,Confounding Parable,,,,,,,2,,,2,,2,
"De Ratio Quercuum",nectar,8,Earth-Sign,,,,,,,,,2,,2,,
"Opus Magnum Caeruleum",lantern,14,Memory: Foresight,,2,,,,1,,,,,,,
"Sunrise Awakenings",lantern,4,Memory: Revelation,,,,,,2,,,,,,,
"De Horis book 1",nectar,4,Memory: Impulse,,,,,,,,2,1,,,,
"De Horis book 2",edge,4,Memory: Foresight,,2,,,,1,,,,,,,
"De Horis book 3",edge,4,Memory: Contradiction,2,,,,,,1,,,,,,
"Travelling at Night, vol 1",knock,4,Memory: Impulse,,,,,,,,2,1,,,,
"Travelling at Night, vol 2",sky,6,Memory: Solace,,,,2,,,,,,,,1,
"Travelling at Night, vol 3",knock,4,Memory: Pattern,,1,,,2,,,,,,,,
"The Locksmith's Dream: a Light through the Keyhole",lantern,4,Memory: Revelation,,,,,,2,,,,,,,
"The Locksmith's Dream: Portions and Proportions",sky,4,Confounding Parable,,,,,,,2,,,2,,2,
"The Locksmith's Dream: Trespasses",knock,6,Memory: Impulse,,,,,,,,2,1,,,,
